DireccionID,Calle,Colonia,NumeroInterior,NumeroExterior,CP,Estado,Ciudad,UsuarioID,Referencias,Lat,Long,PedidosTotalesMes
27,17 Coahuila,Tahuizan,345,765,43000,Hgo.,Huejutla de Reyes,6,casa color naranja con café,21.1436,-98.4222,22
28,443 Allende,Tahuizan,345,876,43000,Hgo.,Huejutla de Reyes,6,asdfghj,21.144,-98.4228,28
29,382 Allende,Tahuizan,638,644,43000,Hgo.,Huejutla de Reyes,6,al lado de una tienda de bicicletas,21.1451,-98.4222,27
30,45 San Luis,Tahuizan,462,637,43000,Hgo.,Huejutla de Reyes,6,cas con portón blanco,21.1441,-98.4236,26
31, Aldama,El Campamento,253,753,43000,Hgo.,Huejutla de Reyes,6,al lado de un taller,21.1341,-98.3975,17
32, Ecuador,La Providencia,,,43000,Hgo.,Huejutla de Reyes,1,Conjunto de la señora de las tostadas,21.1412,-98.4259,22
33, Venezuela,La Providencia,,2,43000,Hgo.,Huejutla de Reyes,1,A la altura del señor de los botellones,21.1398,-98.4276,20
34, Revolución,Luis Donaldo Colosio,2,1,43000,Hgo.,Huejutla de Reyes,1,Llegando a las pizzas,21.1413,-98.424,16
35, A Serdán,Luis Donaldo Colosio,,,43000,Hgo.,Huejutla de Reyes,1,Sn,21.1402,-98.4238,19
36, Principal,Capitán Antonio Reyes,,1,43000,Hgo.,Huejutla de Reyes,1,Casi llegando a los panes,21.1391,-98.4248,25
37, 16 de Sept,La Providencia,,21,43000,Hgo.,Huejutla de Reyes,1,Frente a las tostadas,21.1413,-98.4274,16
38, Valenzuela,Huasteco,,1,43000,Hgo.,Huejutla de Reyes,3,Sn,21.1484,-98.422,21
39, Belizario Domínguez,Lomas de Chapultepec,,23,43000,Hgo.,Huejutla de Reyes,3,Sn,21.1506,-98.4222,27
40, 21 de Mayo,Lomas de Chapultepec,,12,43000,Hgo.,Huejutla de Reyes,3,Junto al poste de mango,21.1497,-98.4228,21
41,25 Díaz Mirón,Rojo Lugo,,23,43000,Hgo.,Huejutla de Reyes,3,Frente a direccion general,21.1511,-98.4253,29
42,55 Díaz Mirón,Electricistas,1,23,43000,Hgo.,Huejutla de Reyes,3,Frente a la cancha,21.1492,-98.4269,21
43,6 Pipila,Jesús Murillo Karam,,14,43000,Hgo.,Huejutla de Reyes,3,A un lado de los antojitos,21.1511,-98.4259,31
44, Anís,Obrera,345,765,43000,Hgo.,Huejutla de Reyes,6,casa con portón rojo,21.1449,-98.4275,33
45,176 Rubén Darío,Jesús Murillo Karam,2,21,43000,Hgo.,Huejutla de Reyes,3,Frente al terreno,21.1531,-98.4242,33
46, Maria Garante,Jesús Murillo Karam,,21,43000,Hgo.,Huejutla de Reyes,3,Frente a la sitcom,21.1535,-98.4237,33
47, Aracely Molinos,Jesús Murillo Karam,,2,43000,Hgo.,Huejutla de Reyes,3,sN,21.1535,-98.4243,33
48, Alberto Lara Zúñiga,Jesús Murillo Karam,,25,43000,Hgo.,Huejutla de Reyes,3,Sn,21.1535,-98.4255,29
49, Elpidio Lara,Jesús Murillo Karam,,32,43000,Hgo.,Huejutla de Reyes,3,Junto a salidas a san felipe,21.1541,-98.4253,29
50,10 Juan Escutia,Obrera,34,765,43000,Hgo.,Huejutla de Reyes,6,al lado de un jardín de niños,21.1449,-98.4273,32
51,54 Xochicalco,Obrera,543,456,43000,Hgo.,Huejutla de Reyes,6,casa amarilla de dos pisos,21.1444,-98.4274,28
55,Ignacio Ramirez,La loma,5,0,43000,Veracruz,Platon Sanchez,4,Polleria,21.146,-98.4245,27
56,Merida,5 de Mayo,0,13,43000,Hgo.,Huejutla de Reyes,20,Es una tienda cerca de chacharas Miguel,21.1385,-98.4136,27
57, Palma,Adolfo López Mateos,23,0,43000,Hgo.,Huejutla de Reyes,20,A lado de los tritones,21.151,-98.4071,33
58, Encino,Valle del Encinal,3,14,43000,Hgo.,Huejutla de Reyes,20,Una casa naranja,21.1433,-98.4054,22
59,331 Encino,Valle del Encinal,13,21,43000,Hgo.,Huejutla de Reyes,20,Por un arbol loco,21.1436,-98.407,22
60, Calle Las Flores,Valle del Encinal,2,41,43000,Hgo.,Huejutla de Reyes,20,Una casa cerca de albercas Bikini,21.1439,-98.4041,20
61,Doctor Coss,El Maguey,0,5,43000,Veracruz,Platón Sánchez,4,frente a una casa roja,21.1454,-98.4264,32
62, Numero Dos,Los Prados,,3,43000,Hgo.,Huejutla de Reyes,20,A lado de las Ventanas de don Julio,21.1458,-98.4007,29
63,787 Palma,Valle del Encinal,,2,43000,Hgo.,Huejutla de Reyes,20,Con pasandia de Barbería Carlyn,21.1464,-98.4043,32
64, Lirio,Los Cantores,13,2,43000,Hgo.,Huejutla de Reyes,20,Cerca de papelería Esther,21.1438,-98.4108,30
65, Jalamates,Valle del Encinal,2,10,43000,Hgo.,Huejutla de Reyes,20,Junto a una palmera,21.1417,-98.4051,22
66, Calle Doctor Coss,La Loma,5,0,43000,Ver.,Platón Sánchez,4,alado de una casa color rojo,21.1468,-98.4269,29
67, Adolfo López Mateos,Aviación Civil,36,65,43000,Hgo.,Huejutla de Reyes,6,casa de dos pisos color azul,21.1463,-98.4065,33
68,123 Veracruz,Nuevo México,53,87,43000,Hgo.,Huejutla de Reyes,6,edificio color naranja,21.1521,-98.4015,32
69,29 Arboleda,Flavio Crespo,65,23,43000,Hgo.,Huejutla de Reyes,6,edificio morado,21.1516,-98.3999,29
70,192 Fco I Madero,Cruz Verde,234,753,43000,Hgo.,Huejutla de Reyes,6,asdfghjkl,21.1392,-98.4293,25
71, Rev Mexicana,Flavio Crespo,2345,54,43000,Hgo.,Huejutla de Reyes,6,asdfghjlkjhgfdfghj,21.154,-98.4012,16
72, V Gro,Flavio Crespo,456,567,43000,Hgo.,Huejutla de Reyes,6,en frente de una ferreteria,21.1551,-98.4012,29
73,32 Fco I Madero,Marcelo Vite,34,7654,43000,Hgo.,Huejutla de Reyes,6,casa rosa,21.152,-98.3992,33
74, Jaltocan,Paraíso de las Huastecas,34,765,43000,Hgo.,Huejutla de Reyes,6,casa azul de tres pisos,21.1552,-98.3993,33
75, Nicolás Romero,Tahuizan,12,3,43000,Hgo.,Huejutla de Reyes,20,Casa de gris,21.1441,-98.4228,26
76, San Luis,Tahuizan,,2,43000,Hgo.,Huejutla de Reyes,20,Una casa roja,21.1443,-98.424,33
77,8 Ignacio Lugo Terán,Juárez,456,45,43000,Hgo.,Huejutla de Reyes,6,casa con portón café,21.1435,-98.4197,30
78,422 Nicolás Romero,Tahuizan,345,7654,43000,Hgo.,Huejutla de Reyes,6,sdfgh,21.1436,-98.4223,20
79, Anís,Obrera,,4,43000,Hgo.,Huejutla de Reyes,9,De lado izquierdo de la salida,21.1449,-98.4275,31
80, Ruíz Palacios,Carlos Fayad Orozco,21,1,43000,Hgo.,Huejutla de Reyes,1,Sn,21.1441,-98.4272,21
81, Zapata,Carlos Fayad Orozco,,1,43000,Hgo.,Huejutla de Reyes,1,A lado del terreno valdió,21.1426,-98.4273,21
82,18 Francisco Villa,Huasteco,1,21,43000,Hgo.,Huejutla de Reyes,1,Sn,21.1474,-98.4227,21
83,107 San Luis,Tahuizan,765,876,43000,Hgo.,Huejutla de Reyes,6,casa con portón blanco al lado de una tienda,21.1445,-98.4241,32
84, Tecoluco,La Providencia,1,2,43000,Hgo.,Huejutla de Reyes,1,Pozo a un lado,21.1401,-98.4259,22
85,77 Telegrafista,Tahuizan,375,863,43000,Hgo.,Huejutla de Reyes,6,casa rosa con blanco,21.1449,-98.4257,31
86, Principal,Los Frailes,,1,43000,Hgo.,Huejutla de Reyes,1,Sn,21.1331,-98.4273,10
87, San José,Bernabé Cruz Flores,,12,43000,Hgo.,Huejutla de Reyes,1,Frente al gim,21.1396,-98.426,20
88, Anís,Obrera,54,765,43000,Hgo.,Huejutla de Reyes,6,en frente del centro pastoral,21.1449,-98.4275,32
89,10 Juan Escutia,Obrera,456,765,43000,Hgo.,Huejutla de Reyes,6,casa blanca de dos pisos,21.1449,-98.4273,26
90, 5 de Feb,Lomas de Chapultepec,,2,43000,Hgo.,Huejutla de Reyes,3,Junto a las canchas,21.1495,-98.4222,21
91, 24 de Junio,Jesús Murillo Karam,,32,43000,Hgo.,Huejutla de Reyes,3,Frente al kiosco,21.1521,-98.425,33
92,102 Juan Escutia,Obrera,763,165,43000,Hgo.,Huejutla de Reyes,6,casa con barda naranja,21.1448,-98.4281,33
93, Tenochtitlan,Obrera,65,765,43000,Hgo.,Huejutla de Reyes,6,casa de dos pisos con rejas negras,21.1444,-98.4286,33
94,11 Xochicalco,Obrera,654,8765,43000,Hgo.,Huejutla de Reyes,6,casa verde con portón naranja y blanco,21.1444,-98.428,31
95, Justo Sierra,Jesús Murillo Karam,12,9,43000,Hgo.,Huejutla de Reyes,3,sn,21.1521,-98.4262,16
96, 20 de Noviembre,Lomas de Chapultepec,,2,43000,Hgo.,Huejutla de Reyes,3,Sn,21.1527,-98.4234,33
97, J o de Domínguez,Rojo Lugo,,21,43000,Hgo.,Huejutla de Reyes,3,Frente a la salida,21.1526,-98.4239,31
98, Calle Agustin Escamilla,Jesús Murillo Karam,,3,43000,Hgo.,Huejutla de Reyes,3,Frente a las sucursal de doña elote,21.1536,-98.4251,31
99,15 Las Norias,Obrera,765,76,43000,Hgo.,Huejutla de Reyes,6,casa de dos pisos blanco con café,21.144,-98.4285,32
100,54 Xochicalco,Obrera,34,54,43000,Hgo.,Huejutla de Reyes,6,casa con portón de madera,21.1444,-98.4274,26
101,12 Xochicalco,Obrera,345,76,43000,Hgo.,Huejutla de Reyes,6,casa con molduras de cisne,21.1444,-98.4279,26
102, Río Papaloapan,Tahuizan,34,765,43000,Hgo.,Huejutla de Reyes,6,casa naranja con portón verde al lado de una polleria,21.1446,-98.4262,33
103,9 California,San José,245,765,43000,Hgo.,Huejutla de Reyes,4,casa azul con portón rojo,21.147,-98.4284,21
104,26 5 de Mayo,San José,34,654,43000,Hgo.,Huejutla de Reyes,4,casa verde junto a abarrotes y novedades chavely,21.1455,-98.4286,29
105,138 Calle 20 de Noviembre,San José,678,234,43000,Hgo.,Huejutla de Reyes,4,casa azul,21.1464,-98.429,31
106,119 Justo Sierra,San José,456,67,43000,Hgo.,Huejutla de Reyes,4,casa azul de dos pisos,21.1466,-98.4294,29
107,177 Santa Cecilia,San José,67,43,43000,Hgo.,Huejutla de Reyes,4,casa blanca con portón negro,21.1466,-98.4274,33
108,15 California,San José,56,345,43000,Hgo.,Huejutla de Reyes,4,casa blanca con rojo,21.1467,-98.4284,33
109,9 California,San José,567,432,43000,Hgo.,Huejutla de Reyes,4,casa azul celeste,21.147,-98.4284,21
110,7 California,San José,345,876,43000,Hgo.,Huejutla de Reyes,4,casa con barda de piedra,21.1472,-98.4283,21
111, Calle 20 de Noviembre,San José,45,654,43000,Hgo.,Huejutla de Reyes,4,casa amarilla con ventanas negras,21.1464,-98.4288,32
112, José Alfredo San Roman Duval,San José,45,98,43000,Hgo.,Huejutla de Reyes,4,cerca de modelorama san José,21.1482,-98.4296,21
113, José Alfredo San Roman Duval,San José,345765,65,43000,Hgo.,Huejutla de Reyes,4,cerca de un taller de suspencion,21.1482,-98.4296,21
114,235 Doctores,Loma Bonita,34,54,43000,Hgo.,Huejutla de Reyes,4,frente a una panaderia,21.1503,-98.4296,16
115,235 Doctores,Loma Bonita,654,432,43000,Hgo.,Huejutla de Reyes,4,casa naranja de dos pisos,21.1503,-98.4296,33
116,91 Bernabé Cruz Flores,Loma Bonita,234,765,43000,Hgo.,Huejutla de Reyes,4,casa naranja,21.1497,-98.4309,21
117,328 Doctores,Loma Bonita,234,624,43000,Hgo.,Huejutla de Reyes,4,casa con portón blanco,21.1496,-98.4297,21
118,350 Lomas Verdes,Loma Bonita,627,45,43000,Hgo.,Huejutla de Reyes,4,casa con puerta blanca y portón verde,21.1491,-98.4292,21
119, 20 de Noviembre,Loma Bonita,432,523,43000,Hgo.,Huejutla de Reyes,4,casa de piedra,21.1493,-98.4293,21
120,4 20 de Noviembre,Loma Bonita,128,93,43000,Hgo.,Huejutla de Reyes,4,casa naranja,21.1495,-98.4291,21
121,235 Doctores,Loma Bonita,123,765,43000,Hgo.,Huejutla de Reyes,4,casa al final de la calle,21.1503,-98.4296,29
122,4 20 de Noviembre,Loma Bonita,654,542,43000,Hgo.,Huejutla de Reyes,4,casa tosa con portón amarillo,21.1495,-98.4291,21
123,12 Lomas Verdes,Electricistas,432,567,43000,Hgo.,Huejutla de Reyes,4,casa morada,21.1494,-98.429,21
124, L Cárdenas,Loma Bonita,567,123,43000,Hgo.,Huejutla de Reyes,4,asdfghjkl,21.1498,-98.4297,21
125,330 L Cárdenas,Loma Bonita,543,23,43000,Hgo.,Huejutla de Reyes,4,casa rosa con puerta café en la esquina,21.1498,-98.4296,21
126, 18 de Marzo,Loma Bonita,1.23754e+006,754,43000,Hgo.,Huejutla de Reyes,4,casa roja,21.1505,-98.43,27
127, 18 de Marzo,Loma Bonita,321,987,43000,Hgo.,Huejutla de Reyes,4,casa rosa de dos pisos,21.1505,-98.43,32
128,201 18 de Marzo,Loma Bonita,542,235,43000,Hgo.,Huejutla de Reyes,4,casa al final de la calle,21.1502,-98.4295,28
129,265 Lomas Verdes,Loma Bonita,365,235,43000,Hgo.,Huejutla de Reyes,4,casa con barda de piedra color naranja,21.1504,-98.4289,33
130,117 Lomas Verdes,Loma Bonita,234,567,43000,Hgo.,Huejutla de Reyes,4,al lado de la iglesia monte de los olivos,21.1508,-98.4285,33
131,273 Lomas Verdes,Loma Bonita,234,654,43000,Hgo.,Huejutla de Reyes,4,casa blanca de dos pisos,21.1497,-98.4289,21
132,20 27 de Septiembre,Electricistas,456,765,43000,Hgo.,Huejutla de Reyes,4,casa rosa con barda de ladrillo,21.1494,-98.4274,21
133,57 Electricistas,Electricistas,345,54,43000,Hgo.,Huejutla de Reyes,4,casa verde con techo de teja rojo y portón blanco,21.1485,-98.427,21
134,61 Electricistas,Electricistas,234,654,43000,Hgo.,Huejutla de Reyes,4,casa roja de la esquina con portón y barda blanca,21.1491,-98.4269,21
135,55 Díaz Mirón,Electricistas,653,234,43000,Hgo.,Huejutla de Reyes,4,casa con barda de piedra,21.1492,-98.4269,21
136,16 27 de Septiembre,Electricistas,123,654,43000,Hgo.,Huejutla de Reyes,4,casa blanca con un pino,21.1492,-98.4271,21
137,23 27 de Septiembre,Electricistas,567,43,43000,Hgo.,Huejutla de Reyes,4,casa morada con portón morado,21.1496,-98.4276,21
138,60 Díaz Mirón,Electricistas,654,234,43000,Hgo.,Huejutla de Reyes,4,casa amarilla con escaleras en la entrada,21.1502,-98.4261,33
139,25 Díaz Mirón,Rojo Lugo,234,765,43000,Hgo.,Huejutla de Reyes,4,junto a una taqueria,21.1511,-98.4253,16
140,320 24 de Junio,Jesús Murillo Karam,654,876,43000,Hgo.,Huejutla de Reyes,4,casa rosa,21.1519,-98.4247,27
141,130 Justo Sierra,Jesús Murillo Karam,542,765,43000,Hgo.,Huejutla de Reyes,4,casa azul de dos pisos,21.1522,-98.4262,33
142,28 Flores Magón,Jesús Murillo Karam,543,157,43000,Hgo.,Huejutla de Reyes,4,casa verde con blanco,21.1526,-98.4268,32
143, Profesor Toribio Reyes,San José,,21,43000,Hgo.,Huejutla de Reyes,3,Frente a la casa de doña pelos,21.1475,-98.4283,21
144, Telegrafista,Obrera,,2,43000,Hgo.,Huejutla de Reyes,3,"Casa café
",21.1454,-98.4268,33
145,10 Juan Escutia,Obrera,,21,43000,Hgo.,Huejutla de Reyes,3,Cerca de la escuela,21.1449,-98.4273,31
146,32 San Luis,Tahuizan,,2,43000,Hgo.,Huejutla de Reyes,3,En la esquina,21.1439,-98.4234,29
147, Independencia,Flavio Crespo,0,2,43000,Hgo.,Huejutla de Reyes,3,a lado de la señal de carros,21.1535,-98.4005,32
148, Niños Heroes,Carlos Fayad Orozco,2,2,43000,Hgo.,Huejutla de Reyes,3,Cerca de la casa de empeño,21.1431,-98.4251,30
149,8 Calle Morelos,Centro,,2,43000,Hgo.,Huejutla de Reyes,3,Terminando la calle,21.1391,-98.4223,25
150, Javier Rojo Gómez,La Lomita,,23,43000,Hgo.,Huejutla de Reyes,3,Sin,21.1389,-98.4114,27
151, Quintana Roo,5 de Mayo,,21,43000,Hgo.,Huejutla de Reyes,3,Casa azul,21.1401,-98.4133,22
152,111 La Lomita,La Lomita,2,11,43000,Hgo.,Huejutla de Reyes,3,Sn,21.1409,-98.4131,19
153,5 Principal,Jericó,,12,43000,Hgo.,Huejutla de Reyes,10,Cerca de la ferreteria,21.1375,-98.4115,11
154,908 Principal,Jericó,,28,43000,Hgo.,Huejutla de Reyes,10,Sn,21.1377,-98.4118,18
155,2 Mirador,Jericó,,2,43000,Hgo.,Huejutla de Reyes,10,Cerca del gimnasio casa roja,21.1367,-98.411,11
156, Del Beso,Jericó,1,23,43000,Hgo.,Huejutla de Reyes,10,Ninguna,21.1375,-98.4117,11
157,398 Mirador,Cerecedo Estrada,32,12,43000,Hgo.,Huejutla de Reyes,10,Justo en la esquina,21.1368,-98.4122,18
158, Mirador,Cerecedo Estrada,,12,43000,Hgo.,Huejutla de Reyes,10,Pasando la calle,21.137,-98.412,11
159, Avenida Juarez,Juárez,,5,43000,Hgo.,Huejutla de Reyes,10,Casa azul,21.1458,-98.4192,33
160,73 Avenida Juarez,Juárez,,20,43000,Hgo.,Huejutla de Reyes,10,Casa con 2 pisos,21.1485,-98.4187,21
161, Calle California,Juárez,,4,43000,Hgo.,Huejutla de Reyes,10,Una casa con arboles de mango,21.1481,-98.4199,21
162, Carretera Federal 105,Santa Elena,,2,43000,Hidalgo,Huejutla de Reyes,10,A lado de las casa de armas,21.1477,-98.4179,21
163, Refaccionaria,Santa Elena,,1,43000,Hgo.,Huejutla de Reyes,10,Es la refaccionaria,21.1465,-98.4181,33
164, El Naranjal,Santa Elena,1,21,43000,Hgo.,Huejutla de Reyes,10,Es la primer casa despues de la refaccionaria,21.1476,-98.4164,21
165,7 El Naranjal,Santa Elena,32,2,43000,Hgo.,Huejutla de Reyes,10,En la curva,21.1465,-98.4169,32
166,40 El Naranjal,Santa Elena,,15,43000,Hgo.,Huejutla de Reyes,10,Frente al terreno vacío,21.1482,-98.4163,21
167,14 El Naranjal,Santa Elena,,23,43000,Hgo.,Huejutla de Reyes,10,Sn,21.1473,-98.4165,21
168,39 El Naranjal,Santa Elena,2,21,43000,Hgo.,Huejutla de Reyes,10,Casa azul,21.1462,-98.417,33
169, 1a Ciprés,Santa Elena,,8,43000,Hgo.,Huejutla de Reyes,10,sn,21.1472,-98.4166,21
170,24 2a Ciprés,Santa Elena,,12,43000,Hgo.,Huejutla de Reyes,10,Sn,21.1477,-98.4165,21
171, 3a Ciprés,Santa Elena,1,3,43000,Hgo.,Huejutla de Reyes,10,Frente a los pollos,21.1481,-98.4166,21
172, Crisoforo Sánchez Trujillo,Santa Elena,1,2,43000,Hgo.,Huejutla de Reyes,10,En la calle,21.1485,-98.4168,21
173,23 Grecia,Olimpia,,21,43000,Hgo.,Huejutla de Reyes,10,Sn,21.1492,-98.4168,21
174,39 Grecia,Olimpia,21,2,43000,Hgo.,Huejutla de Reyes,10,Subiendo,21.1489,-98.4169,21
175, Calle Olimpia,Olimpia,,21,43000,Hgo.,Huejutla de Reyes,10,Casa café,21.1493,-98.4165,21
176,370 Calle Olimpia,Olimpia,,7,43000,Hgo.,Huejutla de Reyes,10,Casa naranja,21.1493,-98.4167,21
177, Calle Melchor Ocampo,Juárez,,3,43000,Hgo.,Huejutla de Reyes,11,En la base,21.1447,-98.4188,28
178, Calle Melchor Ocampo,Juárez,,2,43000,Hgo.,Huejutla de Reyes,11,"En la casa roja
",21.1445,-98.4192,26
179,3 Calle Melchor Ocampo,Juárez,,2,43000,Hgo.,Huejutla de Reyes,11,Frente la plaza,21.145,-98.4191,27
180, Avenida Juarez,Juárez,,23,43000,Hgo.,Huejutla de Reyes,11,Pasando la farmacia,21.1458,-98.4192,26
181,26 Avenida Juarez,Juárez,,2,43000,Hgo.,Huejutla de Reyes,11,Local de Fedex,21.1455,-98.4193,32
182, Avenida Juarez,Centro,,2,43000,Hgo.,Huejutla de Reyes,11,Geo climas,21.1455,-98.4193,31
183, Zacatecas,Centro,,12,43000,Hgo.,Huejutla de Reyes,11,En el local,21.1417,-98.421,16
184, 16 de Enero,Centro,,23,43000,Hgo.,Huejutla de Reyes,11,A lado de la peluquería,21.1408,-98.421,14
185, Velázquez Ibarra,Centro,,3,43000,Hgo.,Huejutla de Reyes,11,En el autolavado,21.1408,-98.421,28
186, Nicandro Castillo,Centro,,2,43000,Hgo.,Huejutla de Reyes,11,Local de aguas,21.1404,-98.4218,22
187,No. 25 Nicandro Castillo,Centro,,26,43000,Hgo.,Huejutla de Reyes,11,cl,21.1407,-98.4217,19
188,960 Nicandro Castillo,Centro,,2,43000,Hgo.,Huejutla de Reyes,11,Capash,21.1406,-98.4217,28
189, Nicandro castillo,Centro,2,2,43000,Hgo.,Huejutla de Reyes,11,SN,21.1405,-98.4217,28
190, Doctor Gea González,Centro,,1,43000,Hgo.,Huejutla de Reyes,11,En el hospital,21.1396,-98.4212,25
191, centro,Centro,,2,43000,Hgo.,Huejutla de Reyes,11,Viper táctico ,21.1389,-98.4209,19
192, Calle Cuauhtémoc,Capitán Antonio Reyes,,2,43000,Hidalgo,Huejutla de Reyes,11,"Casa roja
",21.136,-98.4235,18
193,1270 Calle Cuauhtémoc,Centro,2,3,43000,Hgo.,Huejutla de Reyes,11,Casa roja,21.1393,-98.4204,25
194,27 Calle Cuauhtémoc,Centro,,2,43000,Hgo.,Huejutla de Reyes,11,COn la doctora,21.1386,-98.4208,27
195, Calle Profesor Juan Mojica Ugalde,Centro,2,2,43000,Hgo.,Huejutla de Reyes,11,Juan,21.1385,-98.4218,27
196,391 Calle Cuauhtémoc,Capitán Antonio Reyes,2,391,43000,Hgo.,Huejutla de Reyes,11,Con el profe ramón,21.1379,-98.4213,23
197,32 Calle Cuauhtémoc,Capitán Antonio Reyes,,32,43000,Hgo.,Huejutla de Reyes,11,Con doña sandra,21.1377,-98.4214,18
198, Luis donaldo colosio,Pozo Limón,,2,43000,Hgo.,Huejutla de Reyes,11,Calle cerrada,21.1365,-98.42,11
199, Jacinto Martínez,Adolfo López Mateos,,1,43000,Hgo.,Huejutla de Reyes,11,Tienda,21.135,-98.4219,14
200, Diana Laura,El Mirador,,2,43000,Hgo.,Huejutla de Reyes,11,Casa azul,21.1335,-98.4077,14
201, E Zapata,El Mirador,,2,43000,Hgo.,Huejutla de Reyes,11,Con don Jacinto,21.1324,-98.4064,12
202,Avenida Hidalgo,Centro,,1,43000,Hidalgo,Huejutla de Reyes,12,Cerca de la Plaza Principal,21.1426,-98.4217,21
203,Calle 16 de Septiembre,Centro,,2,43000,Hidalgo,Huejutla de Reyes,12,Frente al Mercado Municipal,21.1431,-98.4222,22
204,Calle Reforma,Centro,,3,43000,Hidalgo,Huejutla de Reyes,12,Junto a la Iglesia,21.1428,-98.4219,21
205,Calle Benito Juárez,Centro,,4,43000,Hidalgo,Huejutla de Reyes,12,A un lado de la Presidencia Municipal,21.1424,-98.4225,21
206,Calle Zaragoza,Centro,,5,43000,Hidalgo,Huejutla de Reyes,12,Cerca del Parque Municipal,21.1427,-98.4215,21
207,Calle Morelos,Centro,,6,43000,Hidalgo,Huejutla de Reyes,12,Detrás del Palacio Municipal,21.143,-98.4221,30
208,Calle Allende,Centro,,7,43000,Hidalgo,Huejutla de Reyes,12,Junto a la Biblioteca,21.1429,-98.4213,21
209,Calle Victoria,Centro,,8,43000,Hidalgo,Huejutla de Reyes,12,Cerca de la Estación de Policía,21.1432,-98.4218,20
210,Calle Iturbide,Centro,,9,43000,Hidalgo,Huejutla de Reyes,12,Frente a la Secundaria Técnica,21.1425,-98.422,21
211,Calle Hidalgo,Tehuetlan,,10,43000,Hidalgo,Huejutla de Reyes,12,Cerca del Hospital Regional,21.1445,-98.4245,33
212,Calle Francisco I. Madero,Tehuetlan,,11,43000,Hidalgo,Huejutla de Reyes,12,A un lado de la Farmacia,21.1448,-98.4248,26
213,Calle Emiliano Zapata,Tehuetlan,,12,43000,Hidalgo,Huejutla de Reyes,12,Junto al Colegio,21.1442,-98.425,33
214,Calle Independencia,Tehuetlan,,13,43000,Hidalgo,Huejutla de Reyes,12,Frente a la Unidad Deportiva,21.1446,-98.4252,32
215,Calle Venustiano Carranza,Tehuetlan,,14,43000,Hidalgo,Huejutla de Reyes,12,Cerca del Centro de Salud,21.1441,-98.4255,28
